Apr 15 03:41:40 kibot-kotlin-1 kidax-engine[1117785]: 03:41:40.009 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: applying pending commands / sync processing
Apr 15 03:41:40 kibot-kotlin-1 kidax-engine[1117785]: 03:41:40.009 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: building local health / syncing flags
Apr 15 03:41:40 kibot-kotlin-1 kidax-engine[1117785]: 03:41:40.009 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: takeover / release gate evaluation
Apr 15 03:41:40 kibot-kotlin-1 kidax-engine[1117785]: 03:41:40.009 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: re-reading canonical bot/lease snapshots
Apr 15 03:41:41 kibot-kotlin-1 kidax-engine[1117785]: 03:41:41.520 INFO  io.ktor.server.Application - 200 OK: GET - /api/state in 8ms
Apr 15 03:41:43 kibot-kotlin-1 kidax-engine[1117785]: 03:41:43.523 INFO  io.ktor.server.Application - 200 OK: GET - /api/state in 12ms
Apr 15 03:41:44 kibot-kotlin-1 kidax-engine[1117785]: 03:41:44.072 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: preparing exchange fetches
Apr 15 03:41:44 kibot-kotlin-1 kidax-engine[1117785]: 03:41:44.072 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: awaiting balances / open orders / market quotes
Apr 15 03:41:44 kibot-kotlin-1 kidax-engine[1117785]: 03:41:44.072 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: enriching runtime market quotes
Apr 15 03:41:44 kibot-kotlin-1 kidax-engine[1117785]: 03:41:44.072 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: market health resolved feedHealthy=true exchangeReachable=false warnings=2
Apr 15 03:41:44 kibot-kotlin-1 kidax-engine[1117785]: 03:41:44.072 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: reached holdings evaluation handoff
Apr 15 03:41:44 kibot-kotlin-1 kidax-engine[1117785]: 03:41:44.074 INFO  com.kibot.macengine.runtime.MacEngineDaemon - [PORTFOLIO_CALC] referenceQuoteAsset=idr rate_to_idr=1
Apr 15 03:41:44 kibot-kotlin-1 kidax-engine[1117785]: 03:41:44.074 INFO  com.kibot.macengine.runtime.MacEngineDaemon - [PORTFOLIO_CALC] total_equity=65201 IDR from 4 balances, 0 quotes
Apr 15 03:41:44 kibot-kotlin-1 kidax-engine[1117785]: 03:41:44.074 INFO  com.kibot.macengine.runtime.MacEngineDaemon - [CAPITAL_REBALANCE] stable_available=25058 aggressive_available=10739 stable_deployed=0 aggressive_deployed=0
Apr 15 03:41:44 kibot-kotlin-1 kidax-engine[1117785]: 03:41:44.075 INFO  com.kibot.macengine.runtime.MacEngineDaemon - SIDE_EFFECTS_GATE: isMaster=true forceMomentumSideEffects=false strategyCyclePresent=false runtimeLeasePresent=true
Apr 15 03:41:44 kibot-kotlin-1 kidax-engine[1117785]: 03:41:44.075 INFO  com.kibot.macengine.runtime.MacEngineDaemon - [PORTFOLIO_CALC] referenceQuoteAsset=idr rate_to_idr=1
Apr 15 03:41:44 kibot-kotlin-1 kidax-engine[1117785]: 03:41:44.075 INFO  com.kibot.macengine.runtime.MacEngineDaemon - [PORTFOLIO_CALC] total_equity=65201 IDR from 4 balances, 0 quotes
Apr 15 03:41:45 kibot-kotlin-1 kidax-engine[1117785]: 03:41:45.523 INFO  io.ktor.server.Application - 200 OK: GET - /api/state in 7ms
Apr 15 03:41:46 kibot-kotlin-1 kidax-engine[1117785]: 03:41:46.080 ERROR com.kibot.macengine.runtime.MacEngineDaemon - LIFECYCLE_BLOCK: Cannot start sync cycle because state is DEGRADED
Apr 15 03:41:46 kibot-kotlin-1 kidax-engine[1117785]: 03:41:46.089 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: entering dead zone after control-plane setup
Apr 15 03:41:46 kibot-kotlin-1 kidax-engine[1117785]: 03:41:46.089 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: checking local balance / peer state cache
